<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SGN,20170428,177.16,177.66,177.16,177.65,5730,179.50,180.00,179.50,180.00,0,0,300
SGN,20170427,172.92,172.92,172.92,172.92,142,175.20,175.20,175.20,175.20,0,0,0
SGN,20170426,177.56,177.56,172.72,172.72,600,179.90,179.90,175.00,175.00,0,0,0
SGN,20170425,177.55,177.55,177.55,177.56,580,179.90,179.90,179.90,179.90,80,0,0
SGN,20170424,167.78,167.78,164.82,164.82,740,170.00,170.00,167.00,167.00,0,0,0
SGN,20170421,172.72,177.66,168.87,177.65,17192,175.00,180.00,171.10,180.00,0,16287,0
SGN,20170420,165.81,166.80,165.81,166.80,600,168.00,169.00,168.00,169.00,0,0,0
SGN,20170419,168.77,171.73,168.77,169.76,4200,171.00,174.00,171.00,172.00,0,0,0
SGN,20170418,165.91,165.91,165.91,165.91,1000,168.10,168.10,168.10,168.10,0,0,0
SGN,20170417,167.78,167.78,167.78,167.79,500,170.00,170.00,170.00,170.00,0,0,0
SGN,20170414,162.85,163.84,162.85,162.85,900,165.00,166.00,165.00,165.00,0,0,0
SGN,20170407,177.45,177.45,177.06,177.06,1200,179.80,179.80,179.40,179.40,0,1200,0
SGN,20170405,176.67,177.66,176.67,177.65,6420,179.00,180.00,179.00,180.00,0,6400,0
SGN,20170404,176.66,176.66,157.91,157.92,600,179.00,179.00,160.00,160.00,0,500,500
SGN,20170403,176.67,177.65,176.67,177.65,1700,179.00,180.00,179.00,180.00,0,0,300
SGN,20170331,178.64,178.64,178.64,178.64,540,181.00,181.00,181.00,181.00,0,0,0
SGN,20170330,177.65,177.65,177.55,177.65,14502,180.00,180.00,179.90,180.00,0,12000,0
SGN,20170329,177.65,177.65,177.65,177.65,41,180.00,180.00,180.00,180.00,0,0,0
SGN,20170328,177.46,177.75,177.46,177.65,15400,179.80,180.10,179.80,180.00,0,12900,0
SGN,20170327,177.65,177.65,175.68,175.68,1300,180.00,180.00,178.00,178.00,0,0,0
SGN,20170323,177.65,177.65,177.65,177.65,1600,180.00,180.00,180.00,180.00,0,0,0
SGN,20170322,177.85,177.85,177.66,177.65,1640,180.20,180.20,180.00,180.00,0,500,0
SGN,20170321,177.66,178.15,176.67,178.15,3700,180.00,180.50,179.00,180.50,0,1100,0
SGN,20170320,177.76,177.95,176.67,176.67,5400,180.10,180.30,179.00,179.00,0,100,0
SGN,20170317,182.58,182.58,178.24,178.25,1200,185.00,185.00,180.60,180.60,0,500,0
SGN,20170316,184.56,184.56,177.65,177.65,1700,187.00,187.00,180.00,180.00,36000,36000,0
SGN,20170315,177.66,177.66,177.66,177.65,4900,180.00,180.00,180.00,180.00,0,0,0
SGN,20170314,181.60,182.59,181.60,182.59,350,184.00,185.00,184.00,185.00,0,300,0
SGN,20170313,172.72,180.62,172.72,176.27,8300,175.00,183.00,175.00,178.60,0,500,0
SGN,20170310,170.75,172.72,167.79,172.23,5848,173.00,175.00,170.00,174.50,0,2600,0
SGN,20170309,167.79,170.26,167.79,167.79,3000,170.00,172.50,170.00,170.00,0,600,0
