<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TBD,20180406,88.82,88.82,88.82,88.82,49569,90.30,90.30,90.30,90.30,612942,407155,500
TBD,20180405,77.31,77.31,77.31,77.31,62529,78.60,78.60,78.60,78.60,195309,200,0
TBD,20180404,67.27,67.27,67.27,67.28,121035,68.40,68.40,68.40,68.40,4215710,244525,0
TBD,20180403,58.52,58.52,58.52,58.52,420610,59.50,59.50,59.50,59.50,341851,5000,100
TBD,20180402,50.95,50.95,50.95,50.95,174454,51.80,51.80,51.80,51.80,704887,0,0
TBD,20180330,42.79,46.72,42.79,46.52,231516,43.50,47.50,43.50,47.30,3151971,7000,0
TBD,20180329,42.78,43.27,42.29,43.28,114091,43.50,44.00,43.00,44.00,33284,31900,0
TBD,20180328,42.29,42.49,42.19,42.29,25533,43.00,43.20,42.90,43.00,891560,14700,0
TBD,20180327,43.18,43.18,42.00,42.29,31689,43.90,43.90,42.70,43.00,45000,7000,0
TBD,20180326,43.38,43.48,42.39,42.39,50409,44.10,44.20,43.10,43.10,0,0,0
TBD,20180323,42.30,43.48,42.10,43.28,123907,43.00,44.20,42.80,44.00,0,0,0
TBD,20180322,41.22,42.79,41.02,42.69,267961,41.90,43.50,41.70,43.40,0,0,0
TBD,20180321,41.80,42.39,40.81,42.20,187055,42.50,43.10,41.50,42.90,9456,0,0
TBD,20180320,40.33,43.28,40.33,42.29,146820,41.00,44.00,41.00,43.00,184539,0,0
TBD,20180319,41.11,41.11,35.80,40.33,68750,41.80,41.80,36.40,41.00,3533,0,0
TBD,20180316,41.90,42.20,41.31,41.80,19210,42.60,42.90,42.00,42.50,0,2000,0
TBD,20180315,42.10,42.30,42.10,42.20,39898,42.80,43.00,42.80,42.90,0,0,0
TBD,20180314,42.30,42.40,42.00,42.20,67198,43.00,43.10,42.70,42.90,0,1600,0
TBD,20180313,42.09,42.49,41.90,42.20,44755,42.80,43.20,42.60,42.90,28896,3600,0
TBD,20180312,41.31,42.79,41.31,42.29,61317,42.00,43.50,42.00,43.00,4839,0,0
TBD,20180309,40.33,42.39,39.44,41.90,72150,41.00,43.10,40.10,42.60,21250,0,0
TBD,20180308,39.35,42.20,37.48,41.31,107526,40.00,42.90,38.10,42.00,0,0,0
TBD,20180307,39.83,41.70,35.41,41.51,91985,40.50,42.40,36.00,42.20,0,0,0
TBD,20180306,38.56,41.71,38.46,40.13,63100,39.20,42.40,39.10,40.80,0,0,0
TBD,20180305,37.96,40.81,37.96,40.82,105805,38.60,41.50,38.60,41.50,0,0,0
TBD,20180302,37.96,40.13,37.76,39.83,72726,38.60,40.80,38.40,40.50,0,0,0
TBD,20180301,36.49,39.84,36.49,39.83,80211,37.10,40.50,37.10,40.50,0,0,0
TBD,20180228,39.84,39.84,36.00,37.87,92200,40.50,40.50,36.60,38.50,35030,0,0
TBD,20180227,37.57,39.15,36.88,37.77,27600,38.20,39.80,37.50,38.40,0,0,0
TBD,20180226,36.39,39.34,35.50,38.26,65800,37.00,40.00,36.10,38.90,0,0,0
TBD,20180223,31.87,39.25,31.87,36.88,38900,32.40,39.90,32.40,37.50,0,0,0
TBD,20180222,33.15,37.87,33.15,37.87,8750,33.70,38.50,33.70,38.50,0,0,0
TBD,20180221,37.17,39.53,37.17,39.54,26000,37.80,40.20,37.80,40.20,0,0,0
TBD,20180213,38.26,39.93,37.18,39.83,154900,38.90,40.60,37.80,40.50,0,0,0
TBD,20180212,37.57,39.34,36.98,39.34,145320,38.20,40.00,37.60,40.00,12888,0,0
TBD,20180209,37.38,37.67,37.18,37.67,179500,38.00,38.30,37.80,38.30,610000,0,0
TBD,20180208,36.88,37.27,36.88,37.18,139200,37.50,37.90,37.50,37.80,9919,0,0
TBD,20180207,36.88,36.88,36.88,36.88,44900,37.50,37.50,37.50,37.50,0,0,0
TBD,20180206,36.88,36.88,36.88,36.88,33000,37.50,37.50,37.50,37.50,8437,0,0
TBD,20180205,36.88,37.08,36.88,36.98,50600,37.50,37.70,37.50,37.60,0,0,0
TBD,20180202,36.39,36.39,36.39,36.39,3300,37.00,37.00,37.00,37.00,5088,0,0
TBD,20180201,36.39,36.39,36.39,36.39,1100,37.00,37.00,37.00,37.00,0,0,0
TBD,20180131,36.39,36.39,36.39,36.39,6740,37.00,37.00,37.00,37.00,0,0,0
TBD,20180130,36.39,36.39,36.39,36.39,8510,37.00,37.00,37.00,37.00,18057,0,0
TBD,20180129,36.30,36.39,36.30,36.39,10300,36.90,37.00,36.90,37.00,0,0,0
TBD,20180126,34.23,34.23,34.23,34.23,34,34.80,34.80,34.80,34.80,10272,0,0
TBD,20180125,34.23,34.23,34.23,34.23,10,34.80,34.80,34.80,34.80,15939,0,0
TBD,20180124,36.88,36.88,31.57,36.39,7956,37.50,37.50,32.10,37.00,10243,0,0
TBD,20180123,36.88,36.98,36.88,36.98,8313,37.50,37.60,37.50,37.60,0,0,0
TBD,20180122,36.79,36.89,36.79,36.88,19901,37.40,37.50,37.40,37.50,0,0,0
TBD,20180119,36.69,36.98,36.59,36.59,9528,37.30,37.60,37.20,37.20,0,0,0
TBD,20180118,36.59,36.59,36.49,36.49,438,37.20,37.20,37.10,37.10,0,0,0
TBD,20180117,36.39,37.08,36.39,37.08,6000,37.00,37.70,37.00,37.70,0,0,0
TBD,20180116,35.41,36.98,35.41,36.39,34400,36.00,37.60,36.00,37.00,1849,0,0
TBD,20180115,34.91,36.88,34.42,34.72,24761,35.50,37.50,35.00,35.30,0,0,0
TBD,20180112,36.39,36.39,36.39,36.39,33,37.00,37.00,37.00,37.00,0,0,0
TBD,20180111,37.38,37.38,36.39,36.39,5295,38.00,38.00,37.00,37.00,35030,0,0
TBD,20180110,37.77,37.77,37.77,37.77,7,38.40,38.40,38.40,38.40,26000,0,0
TBD,20180109,37.86,37.86,36.88,37.87,43190,38.50,38.50,37.50,38.50,0,0,0
TBD,20180108,36.88,36.88,33.93,36.88,18200,37.50,37.50,34.50,37.50,0,0,0
TBD,20180105,34.82,36.89,34.53,34.52,7500,35.40,37.50,35.10,35.10,0,0,0
TBD,20180104,37.87,37.87,33.74,37.38,26427,38.50,38.50,34.30,38.00,0,0,0
TBD,20180103,32.65,37.37,32.45,37.38,11400,33.20,38.00,33.00,38.00,0,0,0
TBD,20180102,35.01,36.88,35.01,36.88,19300,35.60,37.50,35.60,37.50,0,0,0
TBD,20171229,35.51,36.00,35.51,35.90,18900,36.10,36.60,36.10,36.50,11389,0,0
TBD,20171228,36.39,37.18,35.99,37.18,19100,37.00,37.80,36.60,37.80,0,0,0
TBD,20171227,35.02,36.89,31.77,36.88,42600,35.60,37.50,32.30,37.50,1641,0,0
TBD,20171226,34.92,34.92,34.92,34.92,200,35.50,35.50,35.50,35.50,17548,0,0
TBD,20171222,34.42,34.42,32.75,32.75,8500,35.00,35.00,33.30,33.30,0,0,0
TBD,20171221,34.72,36.30,34.72,36.29,12551,35.30,36.90,35.30,36.90,0,0,0
TBD,20171220,31.96,32.46,31.87,31.87,10500,32.50,33.00,32.40,32.40,240000,0,0
TBD,20171219,37.28,39.35,33.54,39.34,10905,37.90,40.00,34.10,40.00,0,0,0
TBD,20171218,37.28,37.38,37.28,37.28,1110,37.90,38.00,37.90,37.90,15729,0,0
TBD,20171215,36.99,37.38,36.99,37.38,12890,37.60,38.00,37.60,38.00,0,0,0
TBD,20171214,36.39,37.37,36.39,37.38,47400,37.00,38.00,37.00,38.00,21525,0,0
TBD,20171213,35.90,36.39,35.90,36.39,6300,36.50,37.00,36.50,37.00,0,0,0
TBD,20171212,36.20,36.89,36.20,36.88,10800,36.80,37.50,36.80,37.50,0,0,0
TBD,20171208,36.39,36.39,35.41,35.61,6800,37.00,37.00,36.00,36.20,59,0,0
TBD,20171207,36.39,36.39,36.39,36.39,19482,37.00,37.00,37.00,37.00,0,0,0
TBD,20171206,36.39,36.39,36.39,36.39,13000,37.00,37.00,37.00,37.00,0,0,0
TBD,20171205,36.39,36.39,36.39,36.39,20200,37.00,37.00,37.00,37.00,0,0,0
TBD,20171204,36.39,36.39,35.41,36.39,33200,37.00,37.00,36.00,37.00,39777,0,0
TBD,20171201,36.39,36.39,36.39,36.39,4112,37.00,37.00,37.00,37.00,4489,0,0
TBD,20171130,36.40,36.40,36.40,36.39,31900,37.00,37.00,37.00,37.00,0,0,0
TBD,20171129,31.47,36.78,31.47,36.79,3088,32.00,37.40,32.00,37.40,0,0,0
TBD,20171128,35.41,36.39,35.41,36.39,7900,36.00,37.00,36.00,37.00,0,0,0
TBD,20171127,36.39,36.39,36.39,36.39,4900,37.00,37.00,37.00,37.00,0,0,0
TBD,20171124,36.78,36.88,36.39,36.88,32700,37.40,37.50,37.00,37.50,0,0,0
TBD,20171123,36.88,36.88,36.88,36.88,25608,37.50,37.50,37.50,37.50,0,0,0
TBD,20171122,35.41,36.88,35.41,36.88,12595,36.00,37.50,36.00,37.50,0,0,0
TBD,20171121,35.41,35.90,35.41,35.90,2400,36.00,36.50,36.00,36.50,0,0,0
TBD,20171120,34.92,35.12,34.92,35.11,25900,35.50,35.70,35.50,35.70,0,0,0
TBD,20171117,34.43,34.92,34.43,34.92,18800,35.00,35.50,35.00,35.50,101320,0,0
TBD,20171116,34.43,34.53,34.43,34.43,2500,35.00,35.10,35.00,35.00,0,0,0
TBD,20171115,36.79,36.79,36.79,36.79,100,37.40,37.40,37.40,37.40,4341,0,0
TBD,20171114,34.42,34.42,33.93,34.43,9300,35.00,35.00,34.50,35.00,0,0,0
TBD,20171113,34.43,34.92,34.43,34.72,11000,35.00,35.50,35.00,35.30,7956,0,0
TBD,20171110,34.43,34.92,34.43,34.92,1650,35.00,35.50,35.00,35.50,0,0,0
TBD,20171109,34.82,34.92,34.82,34.92,12015,35.40,35.50,35.40,35.50,0,18,0
TBD,20171108,35.51,35.51,34.82,34.82,3702,36.10,36.10,35.40,35.40,52,2,52
TBD,20171107,35.41,35.41,34.53,35.41,19703,36.00,36.00,35.10,36.00,0,0,100
TBD,20171106,34.43,34.43,34.43,34.43,1228,35.00,35.00,35.00,35.00,7,0,0
TBD,20171103,35.41,35.41,35.41,35.41,4800,36.00,36.00,36.00,36.00,0,0,0
TBD,20171101,35.41,35.41,35.41,35.41,300,36.00,36.00,36.00,36.00,0,0,0
TBD,20171031,36.39,36.49,34.42,36.49,11111,37.00,37.10,35.00,37.10,0,0,0
TBD,20171017,36.40,36.50,36.40,36.49,1200,37.00,37.10,37.00,37.10,0,0,0
TBD,20171016,35.50,35.50,33.44,34.43,1000,36.10,36.10,34.00,35.00,0,0,0
TBD,20171013,30.98,30.98,30.98,30.98,300,31.50,31.50,31.50,31.50,0,0,0
TBD,20171011,35.41,35.41,35.41,35.41,1400,36.00,36.00,36.00,36.00,0,0,0
TBD,20171010,35.90,35.90,35.90,35.90,200,36.50,36.50,36.50,36.50,0,0,0
TBD,20171009,35.90,36.39,35.90,36.39,370,36.50,37.00,36.50,37.00,0,0,0
TBD,20171006,34.72,35.41,34.72,35.41,860,35.30,36.00,35.30,36.00,0,0,0
TBD,20171004,34.03,35.41,34.03,34.43,3000,34.60,36.00,34.60,35.00,0,0,0
TBD,20171003,34.52,41.11,34.52,41.11,800,35.10,41.80,35.10,41.80,14719,0,0
TBD,20171002,36.89,36.89,35.41,36.88,6100,37.50,37.50,36.00,37.50,0,0,0
TBD,20170927,37.97,37.97,37.97,37.97,4210,38.60,38.60,38.60,38.60,126000,0,0
TBD,20170926,38.46,38.46,37.87,37.87,1400,39.10,39.10,38.50,38.50,0,0,0
TBD,20170925,38.36,38.85,38.36,38.36,4225,39.00,39.50,39.00,39.00,0,0,0
TBD,20170922,41.63,41.63,31.00,30.98,7610,42.30,42.30,31.50,31.50,0,0,0
TBD,20170921,36.23,36.23,36.17,36.22,10315,66.00,66.00,65.90,66.00,5520,0,0
TBD,20170920,36.28,36.33,35.68,36.28,49405,66.10,66.20,65.00,66.10,80416,0,0
TBD,20170919,36.28,36.28,36.23,36.28,10070,66.10,66.10,66.00,66.10,23562,0,0
TBD,20170918,36.22,36.49,36.22,36.50,17740,66.00,66.50,66.00,66.50,13608,0,0
TBD,20170915,36.49,36.88,36.06,36.22,9010,66.50,67.20,65.70,66.00,41597,0,0
TBD,20170914,35.94,36.22,35.94,36.22,23145,65.50,66.00,65.50,66.00,4601,0,0
TBD,20170913,36.22,36.22,35.67,35.67,11083,66.00,66.00,65.00,65.00,18451,0,0
TBD,20170912,36.27,36.49,36.22,36.22,19627,66.10,66.50,66.00,66.00,2000,0,0
TBD,20170911,32.93,36.23,32.93,36.22,62002,60.00,66.00,60.00,66.00,0,0,0
TBD,20170908,31.33,31.61,31.33,31.56,3717,57.10,57.60,57.10,57.50,5109,0,0
TBD,20170907,31.50,31.55,31.28,31.28,5919,57.40,57.50,57.00,57.00,0,0,0
TBD,20170906,31.28,31.28,31.28,31.28,181,57.00,57.00,57.00,57.00,9812,0,0
TBD,20170905,31.28,31.33,31.28,31.28,10400,57.00,57.10,57.00,57.00,0,0,0
TBD,20170901,30.74,31.34,30.19,31.28,40100,56.00,57.10,55.00,57.00,10616,0,0
TBD,20170831,29.64,29.64,29.64,29.64,1000,54.00,54.00,54.00,54.00,0,0,0
TBD,20170830,29.64,29.64,29.64,29.64,3000,54.00,54.00,54.00,54.00,4954,0,0
TBD,20170829,29.64,29.64,29.64,29.64,3004,54.00,54.00,54.00,54.00,12601,0,0
TBD,20170824,27.55,31.83,27.55,31.83,200,50.20,58.00,50.20,58.00,3266,0,0
TBD,20170822,28.65,28.65,28.65,28.65,100,52.20,52.20,52.20,52.20,0,0,0
TBD,20170808,30.35,30.35,30.19,30.35,11000,55.30,55.30,55.00,55.30,0,0,0
TBD,20170807,30.18,30.29,30.18,30.30,13300,55.00,55.20,55.00,55.20,6423,0,4800
TBD,20170804,26.35,26.35,26.35,26.34,100,48.00,48.00,48.00,48.00,0,0,0
TBD,20170803,27.45,29.64,25.80,25.80,16700,50.00,54.00,47.00,47.00,2594,0,10500
TBD,20170802,25.80,25.80,25.80,25.80,1000,47.00,47.00,47.00,47.00,11425,0,1000
TBD,20170801,28.54,28.54,28.54,28.54,310,52.00,52.00,52.00,52.00,19380,10,300
TBD,20170731,30.18,31.28,30.18,31.28,2700,55.00,57.00,55.00,57.00,19109,0,0
TBD,20170727,31.83,31.83,31.83,31.83,300,58.00,58.00,58.00,58.00,0,0,0
TBD,20170725,32.93,32.93,26.40,26.40,1300,60.00,60.00,48.10,48.10,0,0,0
TBD,20170724,28.65,28.65,28.65,28.65,100,53.40,53.40,53.40,53.40,5500,0,0
TBD,20170721,24.95,24.95,24.95,24.95,500,46.50,46.50,46.50,46.50,2302,0,0
TBD,20170720,25.75,30.04,25.75,26.02,1142,48.00,56.00,48.00,48.50,1500,0,0
TBD,20170719,28.97,28.97,28.97,28.97,200,54.00,54.00,54.00,54.00,0,0,0
TBD,20170718,27.95,27.95,27.95,27.95,500,52.10,52.10,52.10,52.10,0,0,0
TBD,20170717,29.51,29.51,29.51,29.51,100,55.00,55.00,55.00,55.00,0,0,0
TBD,20170713,26.45,31.12,26.45,29.51,4000,49.30,58.00,49.30,55.00,0,0,0
TBD,20170712,31.12,31.12,31.12,31.12,100,58.00,58.00,58.00,58.00,5000,0,0
TBD,20170711,31.12,31.12,31.12,31.12,300,58.00,58.00,58.00,58.00,0,0,0
TBD,20170707,32.72,32.72,32.19,32.19,800,61.00,61.00,60.00,60.00,5073,0,0
